Date,Open,High,Low,Close,Adj Close,Volume
2017-11-11,256.011322,273.902954,255.673492,269.811371,269.811371,722199256
2017-11-12,269.819092,273.739624,255.948730,264.072021,264.072021,1383773530
2017-11-13,263.314758,281.949707,263.405121,271.556213,271.556213,893329318
2017-11-14,271.596497,290.873871,271.573212,286.394958,286.394958,907354313
2017-11-15,286.677399,289.079956,279.644714,282.937531,282.937531,613364441
2017-11-16,283.010529,285.606628,274.871307,280.967926,280.967926,676901015
2017-11-17,280.325165,284.253204,277.632446,281.857056,281.857056,527205115
2017-11-18,281.505981,296.460602,277.865692,294.761292,294.761292,550868291
2017-11-19,294.582367,314.840149,292.325958,301.990601,301.990601,1006842764
2017-11-20,301.741791,317.198242,300.773895,312.482971,312.482971,687650825
2017-11-21,313.090485,317.455048,298.792694,306.985535,306.985535,809124361
2017-11-22,306.909729,322.772278,306.821442,322.204163,322.204163,677855940
2017-11-23,322.870331,359.112244,318.206299,346.160858,346.160858,1557667314
2017-11-24,348.131500,403.162598,339.937531,398.081329,398.081329,1921902726
2017-11-25,398.722534,406.699066,386.465210,390.843262,390.843262,1192020117
2017-11-26,390.590118,396.247284,378.546509,395.178986,395.178986,1004259217
2017-11-27,395.347534,413.860931,392.793640,403.524048,403.524048,1173118280
2017-11-28,403.660950,405.411316,392.481903,399.140778,399.140778,1136478704
2017-11-29,399.460663,441.585236,358.739990,360.718018,360.718018,2257796234
2017-11-30,363.833099,392.427094,338.259155,375.789215,375.789215,1599462094
2017-12-01,374.188110,397.517883,359.442780,392.413147,392.413147,1049608828
2017-12-02,392.674744,400.571136,384.097076,389.813263,389.813263,793716868
2017-12-03,390.028595,407.334839,380.827637,392.925934,392.925934,835490040
2017-12-04,393.095459,400.385406,382.154785,396.228210,396.228210,847349807
2017-12-05,396.304047,399.660736,387.223969,391.615387,391.615387,1028503804
2017-12-06,391.043121,391.296417,356.079987,363.087097,363.087097,1692866798
2017-12-07,361.207214,374.192108,351.821899,369.018005,369.018005,1809012953
2017-12-08,369.511566,396.513550,358.972473,387.649628,387.649628,1986042081
2017-12-09,388.765717,428.550659,387.838318,402.500854,402.500854,1703374689
2017-12-10,401.894775,401.894775,365.108826,375.389648,375.389648,1193320275
2017-12-11,374.231323,439.002197,373.133911,437.482788,437.482788,1504407643
2017-12-12,443.554993,559.800720,428.517792,554.834351,554.834351,4411744962
2017-12-13,549.276917,636.698120,508.937500,593.753845,593.753845,3822693396
2017-12-14,591.917847,636.565796,564.171570,590.976685,590.976685,3245778862
2017-12-15,591.452332,592.044189,526.858643,582.409790,582.409790,2347438747
2017-12-16,583.893799,611.287476,579.293762,592.417419,592.417419,1842826848
2017-12-17,592.441284,626.607361,592.441284,613.109924,613.109924,1828655328
2017-12-18,614.606140,682.335754,586.429871,674.399597,674.399597,2757557566
2017-12-19,673.768127,747.536865,666.674011,698.566223,698.566223,3461093180
2017-12-20,699.151733,713.795105,638.409058,689.640503,689.640503,3342544387
2017-12-21,690.608765,742.134888,668.315491,692.763245,692.763245,3011356814
2017-12-22,694.096375,698.466675,458.793488,569.165894,569.165894,4198119322
2017-12-23,574.610779,644.256592,573.274048,606.719238,606.719238,2091878188
2017-12-24,608.728149,608.728149,518.615173,585.877808,585.877808,1941720027
2017-12-25,589.863281,659.020569,589.863281,645.130127,645.130127,2099031360
2017-12-26,643.054504,662.839050,641.327454,652.695679,652.695679,1856578893
2017-12-27,653.652161,664.914063,620.619446,641.097534,641.097534,1764879361
2017-12-28,640.564758,641.498413,587.800354,617.323914,617.323914,2001130708
2017-12-29,620.143188,640.962952,608.970825,628.202698,628.202698,2208211057
2017-12-30,628.388611,628.388611,571.216248,597.913513,597.913513,2657369203
2017-12-31,593.707886,633.464966,591.963196,630.505737,630.505737,2128203593
2018-01-01,629.692566,652.108337,617.873291,643.384949,643.384949,2161512306
2018-01-02,643.139343,761.786987,643.192871,733.308960,733.308960,4795083127
2018-01-03,734.599121,811.450562,721.964417,801.598633,801.598633,4240765975
2018-01-04,800.760193,866.064453,784.157471,812.963684,812.963684,5389408069
2018-01-05,808.677246,892.958557,794.157959,829.497803,829.497803,5556326758
2018-01-06,827.364502,881.867249,826.922180,866.045959,866.045959,3876138823
2018-01-07,867.151672,958.021118,867.151672,958.021118,958.021118,4627299214
2018-01-08,962.249756,1053.492432,849.540100,959.587280,959.587280,7060715274
2018-01-09,957.473450,1106.626465,957.127319,1089.745972,1089.745972,6678510915
2018-01-10,1090.249023,1187.483276,1026.014160,1050.455811,1050.455811,7708030448
2018-01-11,1060.719360,1118.517944,943.459167,959.164551,959.164551,6009384523
2018-01-12,961.955017,1070.046265,928.841492,1044.119995,1044.119995,4282680138
2018-01-13,1041.881226,1175.069702,1041.881226,1145.169800,1145.169800,4712776933
2018-01-14,1146.039063,1148.564941,1054.789185,1121.222290,1121.222290,3971804929
2018-01-15,1119.942505,1140.950073,1052.434082,1053.338745,1053.338745,3898165538
2018-01-16,1053.917603,1054.691528,714.205872,858.752991,858.752991,6850154823
